year,semester_name,semester_abbreviation
1989,Fall,F
1989,Spring,S
1989,Summer1,Sum1
1989,Summer2,
1989,Summer3,Sum2
1989,Summer4,
1987,Fall,F
1987,Spring,S
1987,Summer1,Sum1
1987,Summer2,
1987,Summer3,Sum2
1987,Summer4,
1984,Fall,F
1984,Spring,S
1984,Summer1,Sum1
1984,Summer2,
1984,Summer3,Sum2
1984,Summer4,
1992,Fall,F
1992,Spring,S
1992,Summer1,Sum1
1992,Summer2,
1992,Summer3,Sum2
1992,Summer4,
1990,Fall,F
1990,Spring,S
1990,Summer1,Sum1
1990,Summer2,
1990,Summer3,Sum2
1990,Summer4,
1991,Fall,F
1991,Spring,S
1991,Summer1,Sum1
1991,Summer2,
1991,Summer3,Sum2
1991,Summer4,
1988,Fall,F
1988,Spring,S
1988,Summer1,Sum1
1988,Summer2,
1988,Summer3,Sum2
1988,Summer4,
1986,Fall,F
1986,Spring,S
1986,Summer1,Sum1
1986,Summer2,
1986,Summer3,Sum2
1986,Summer4,
1985,Fall,F
1985,Spring,S
1985,Summer1,Sum1
1985,Summer2,
1985,Summer3,Sum2
1985,Summer4,
