time_id,year,semester_name,semester_abbreviation
1,1989,Fall,F
2,1989,Spring,S
3,1989,Summer1,Sum1
4,1989,Summer2,
5,1989,Summer3,Sum2
6,1989,Summer4,
7,1987,Fall,F
8,1987,Spring,S
9,1987,Summer1,Sum1
10,1987,Summer2,
11,1987,Summer3,Sum2
12,1987,Summer4,
13,1984,Fall,F
14,1984,Spring,S
15,1984,Summer1,Sum1
16,1984,Summer2,
17,1984,Summer3,Sum2
18,1984,Summer4,
19,1992,Fall,F
20,1992,Spring,S
21,1992,Summer1,Sum1
22,1992,Summer2,
23,1992,Summer3,Sum2
24,1992,Summer4,
25,1990,Fall,F
26,1990,Spring,S
27,1990,Summer1,Sum1
28,1990,Summer2,
29,1990,Summer3,Sum2
30,1990,Summer4,
31,1991,Fall,F
32,1991,Spring,S
33,1991,Summer1,Sum1
34,1991,Summer2,
35,1991,Summer3,Sum2
36,1991,Summer4,
37,1988,Fall,F
38,1988,Spring,S
39,1988,Summer1,Sum1
40,1988,Summer2,
41,1988,Summer3,Sum2
42,1988,Summer4,
43,1986,Fall,F
44,1986,Spring,S
45,1986,Summer1,Sum1
46,1986,Summer2,
47,1986,Summer3,Sum2
48,1986,Summer4,
49,1985,Fall,F
50,1985,Spring,S
51,1985,Summer1,Sum1
52,1985,Summer2,
53,1985,Summer3,Sum2
54,1985,Summer4,
